Date,Open,High,Low,Close,Volume,Adj Close
2014-12-11,19.43,19.73,19.22,19.35,30400,19.35
2014-12-10,19.97,20.07,19.24,19.30,49300,19.30
2014-12-09,19.11,20.05,19.02,19.98,56400,19.98
2014-12-08,19.55,19.65,19.24,19.26,23700,19.26
2014-12-05,19.38,19.59,19.38,19.55,25200,19.55
2014-12-04,19.54,19.65,19.33,19.43,28400,19.43
2014-12-03,19.37,19.73,19.35,19.49,36400,19.49
2014-12-02,19.36,19.71,19.35,19.44,26600,19.44
2014-12-01,19.25,19.49,19.17,19.37,64700,19.37
2014-11-28,19.47,19.63,19.16,19.21,32900,19.21
2014-11-26,19.64,19.64,19.43,19.52,17800,19.52
2014-11-25,19.59,19.64,19.54,19.60,45000,19.60
2014-11-24,19.54,19.65,19.33,19.52,30700,19.52
2014-11-21,19.73,19.73,19.56,19.62,44500,19.62
2014-11-20,19.12,19.60,19.02,19.55,30000,19.55
2014-11-19,19.38,19.73,19.21,19.25,45800,19.25
2014-11-18,19.64,19.71,19.43,19.53,54300,19.53
2014-11-17,19.52,19.73,19.40,19.57,70300,19.57
2014-11-14,19.49,19.92,19.33,19.47,60500,19.47
2014-11-13,19.38,19.50,19.10,19.43,75200,19.43
